id	filename	md5	size	state
0dcd9d19-56c6-4a7d-942d-9d035dc8c37a	TCGA-06-0166-01Z-00-DX5.a5de0008-83a4-4bff-8efe-fa70dcc9a6a3.svs	a67b592bd430d757727a14d7eb2523d3	718661957	validated
0fb9a33b-4e58-4a17-b89e-8e515968c927	TCGA-06-0152-01Z-00-DX3.4f78720a-e5ca-4ac4-bdaa-e3ec325ac6bd.svs	6c948472d235b1a131bfd2cc7489a12e	560399979	validated
2e9160e5-0898-4a1a-8528-e807981454bf	TCGA-06-0744-01Z-00-DX1.948cea15-dbea-483c-becb-78166086ec0a.svs	f6133334fe956f0937ba6ae99b0ab0ee	465911123	validated
7b412803-78b9-47df-8d12-b7f1fac83e8a	TCGA-06-0145-01Z-00-DX2.9713b8c7-4664-40e9-82a1-da0a82d544c2.svs	953b776bfbb669a30e956c65da6891aa	94139825	validated
82f6b777-e91b-419c-aeb8-d4d213e9f505	TCGA-06-0166-01Z-00-DX1.f0c10e84-1591-4ac1-9d14-0eb468f155f1.svs	73125a6d5bc4d7c1fa4397c8ae066a95	731032593	validated
9dea746a-82c5-423f-bd53-67e8d15d30ae	TCGA-06-0219-01Z-00-DX1.592a9605-e9ec-46f5-a055-5001088f47d0.svs	23570295535cc007a9e6af82ab33011b	416963053	validated
a98bd495-e3a0-41b9-84bc-6eef88029567	TCGA-06-0166-01Z-00-DX3.a8310185-2d75-4b48-9760-1de4e2d7e9bb.svs	411f10584f5cc525938bb71689c9bd08	131998377	validated
c1805dc8-d1df-4866-9330-a5f2d1554e47	TCGA-02-0330-01Z-00-DX2.C51F90F7-86E4-4668-9F96-8CE20A30B3A9.svs	8ba01613924056d89bef3d7a29b68959	1867445170	validated
c514022d-c063-493c-aff3-a4e9614c470f	TCGA-06-0145-01Z-00-DX5.1d9fc2de-a6f4-4484-9bb2-81b92a6674b1.svs	53edc2bae7c4a99d45c3d328e8092f55	793279089	validated
d9ba0533-3f67-40a5-9ebf-171b93f2f4dd	TCGA-06-0152-01Z-00-DX5.d43177f3-75c0-4049-8af7-76c2c12e6411.svs	7f4a0f7b651347de11b394948a96e120	468779115	validated
