id	filename	md5	size	state
20213b96-0779-46f1-b967-ae0d077de743	TCGA-08-0360-01A-01-TS1.7a339a09-fa8d-4410-9b2b-4d29faf05b08.svs	d51224b4e0496defe6be389a8cfd3cc9	22663809	validated
27bab685-28ed-48a8-bb55-d65edd5c1aa4	TCGA-14-1795-01A-01-TS1.93f081f9-29c4-4179-a827-35b100ac77c1.svs	176eb178b4e8febd0fa49298479898f9	205689335	validated
4111655a-b18a-493b-aafa-eb9bac98c269	TCGA-06-0747-01A-01-TS1.42c0c5ec-c984-400b-bf40-9f65747c7ece.svs	281d86c2a6cd4df4f39fd81a55f6fa4f	55952931	validated
4aedc45b-a807-4d14-9a03-834657114cff	TCGA-26-5134-01A-01-TS1.4e904129-617f-4115-acef-1271c32cd5d0.svs	f88af2ce3303d5facdba73cafae750a1	34304881	validated
6bd67bf7-8143-43af-a7da-613d48c41fb9	TCGA-41-2575-01A-01-TS1.3a91a293-a753-48bf-8783-4293b78e02a5.svs	e967298f7abd2ea9863ea323dfa6647a	96224889	validated
77ecbf06-b86f-435c-9dd6-86c98f8b50c6	TCGA-14-1452-01A-01-TS1.adf91ad5-d245-4f78-9c47-b2ee4799ea14.svs	c596aed48b52583a7b16c673bdfb6925	248148361	validated
8c0d6fe7-60bb-4781-baad-d30f946992e2	TCGA-02-0058-01A-01-TS1.205d82b6-3bfa-479b-a2b9-68d4ef1fea9a.svs	949d8fc8457955ff40dc95266ae74c4c	546782481	validated
95e04736-dd7f-4c1f-964c-9f7d1e13fcb3	TCGA-02-0115-01A-01-TS2.c6b2d8fa-04fd-45da-bad4-78a1904000b4.svs	884392ff6f82d3c5936d3e4ae8632a6f	285345931	validated
cf6b60d8-120a-4d7e-8c97-399836949746	TCGA-08-0348-01A-01-TS1.261408ff-d67c-4db2-a273-64797593f9e3.svs	1370d0eefbd16858502c2919eadca36c	24567919	validated
d93d220a-30eb-42ca-bd66-b7049329095b	TCGA-08-0522-01A-01-BS1.040eb751-66bd-42f1-a46b-005281080794.svs	f9a981bef19bd7ece725960432a1575f	113593591	validated
