id	filename	md5	size	state
0d61224a-2e08-4b19-9916-a62fbd4a6df9	TCGA-06-0152-01A-02-BS2.ed7867ce-26bb-4ec4-ac8b-33c7f12bb528.svs	9ffe4bbc361abc8cc980b2dd8be8a963	176378057	validated
0e9383a5-bd67-48e6-969d-3666108487c2	TCGA-02-0079-01A-01-BS1.e873adab-8379-44ea-969b-5fdebcea48eb.svs	8ecc70634cb0cc1ecb1a670ba0de976d	156334129	validated
18dbf8ce-0c1b-4d91-895c-43927971a588	TCGA-02-0047-01A-01-BS1.d6cf2938-e26c-47fe-8c47-ea96462f0845.svs	7e0ac2e5479b74011dd4998dd5233649	335214793	validated
2c791413-44d2-4e21-b8fc-430eda1644d9	TCGA-02-0451-01A-01-TS1.32c1fc60-a1be-4180-aef0-a35e0f42b53f.svs	c5cc36f9fbc0714678eebc612a5e9deb	431644139	validated
2e78fc33-5176-480e-a9e3-55cb6e0e8ea4	TCGA-06-0744-01A-01-BS1.7a7c0995-bb19-4f2e-bf22-dd00a28a041f.svs	465aa36f87c52f0e3f9d7fc02892ae91	93381817	validated
3313cf17-c5be-4a6a-a6f2-25442313b56e	TCGA-02-0330-01A-01-BS1.46c1ee66-a238-4486-9893-422075c35489.svs	381ad5e9629a9b7def3784ff1efde9bb	205962845	validated
7bc72688-e396-483a-9087-e6f4224f89b9	TCGA-41-2572-01A-01-TS1.67fd82a9-571b-4744-a1a2-44565c43e384.svs	c59aa19db22d69a6649ef8db646e1a34	40234005	validated
c377de52-d78f-4e82-b8ee-dbc6255e0066	TCGA-08-0359-01A-01-BS1.27af31ba-b1af-4ab2-b8dc-da48097c1ce3.svs	0323061c0da3b3916ae0b228a6955298	75189329	validated
ec59eac9-593f-405c-a5f8-ed1153b8b8bd	TCGA-06-0882-01A-01-TS1.bad6b386-eac5-4f5d-ab1b-9a169fbed9a0.svs	10b22ef0c57cc959f64b05e0ecae4e15	93938967	validated
f1d4a3b4-d9b0-4869-aabd-71e03ba2fb97	TCGA-08-0358-01A-01-TS1.3633efa6-dd5f-4218-8753-6f2d6f9e863f.svs	86f26b03f6336a034cbac089ff9eb7f3	70001775	validated
